Type,Start,End,Duration,Start Condition,Start Location,End Condition,Notes
Feed,2022-08-30 17:01,2022-08-30 17:17,00:16,00:04R,Breast,00:12L,
Sleep,2022-08-30 15:33,2022-08-30 16:35,01:01,,,,
Feed,2022-08-30 13:24,2022-08-30 13:27,00:03,00:03R,Breast,Null l,
Sleep,2022-08-30 13:03,2022-08-30 13:07,00:04,,,,
Sleep,2022-08-30 12:35,2022-08-30 13:01,00:26,,,,
Feed,2022-08-30 12:29,2022-08-30 12:35,00:06,Null r,Breast,00:06L,
Sleep,2022-08-30 10:18,2022-08-30 10:57,00:39,,,,
Sleep,2022-08-30 09:25,2022-08-30 10:11,00:46,,,,
Feed,2022-08-30 08:43,2022-08-30 09:01,00:18,00:06R,Breast,00:11L,
Sleep,2022-08-30 07:10,2022-08-30 07:53,00:43,,,,
Sleep,2022-08-30 03:58,2022-08-30 05:26,01:27,,,,
Feed,2022-08-30 03:39,2022-08-30 03:53,00:14,00:14R,Breast,Null l,
Sleep,2022-08-30 02:06,2022-08-30 03:36,01:29,,,,
Feed,2022-08-30 01:40,2022-08-30 01:47,00:07,Null r,Breast,00:07L,
Sleep,2022-08-29 23:56,2022-08-30 01:34,01:37,,,,
Feed,2022-08-29 23:30,2022-08-29 23:38,00:08,00:08R,Breast,Null l,
Sleep,2022-08-29 21:29,2022-08-29 23:24,01:54,,,,
Feed,2022-08-29 21:00,2022-08-29 21:19,00:19,00:09R,Breast,00:09L,
Sleep,2022-08-29 18:56,2022-08-29 20:52,01:56,,,,
Feed,2022-08-29 16:04,2022-08-29 16:15,00:10,Null r,Breast,00:10L,
Sleep,2022-08-29 14:48,2022-08-29 15:53,01:05,,,,
Sleep,2022-08-29 12:56,2022-08-29 13:31,00:34,,,,
Feed,2022-08-29 11:07,,,Breast Milk,Bottle,130ml,
Sleep,2022-08-29 09:52,2022-08-29 10:58,01:06,,,,
Feed,2022-08-29 08:30,2022-08-29 08:39,00:08,Null r,Breast,00:08L,
Sleep,2022-08-29 07:29,2022-08-29 08:13,00:44,,,,
Sleep,2022-08-29 05:28,2022-08-29 05:49,00:21,,,,
Sleep,2022-08-29 03:21,2022-08-29 04:27,01:06,,,,
Feed,2022-08-29 02:36,2022-08-29 02:46,00:10,00:10R,Breast,Null l,
Sleep,2022-08-29 00:04,2022-08-29 02:30,02:26,,,,
Sleep,2022-08-28 23:02,2022-08-28 23:51,00:49,,,,
Feed,2022-08-28 22:35,2022-08-28 22:45,00:10,00:10R,Breast,Null l,
Sleep,2022-08-28 18:31,2022-08-28 22:33,04:02,,,,
Feed,2022-08-28 16:51,2022-08-28 16:59,00:07,00:06R,Breast,00:01L,
Sleep,2022-08-28 15:59,2022-08-28 16:22,00:22,,,,
Feed,2022-08-28 14:41,2022-08-28 14:51,00:09,00:04R,Breast,00:05L,
